Timestamp	ActionName	ActionSourceObj	ActionSourceObjName	ActionSourceObjID	ActionTargetObj	ActionTargetObjName	ActionTargetObjID
1191.279	AxisEntered	UnityEngine.GameObject	axis Price	-8919216			
1191.279	AxisEntered	UnityEngine.GameObject	axis Building-Type	-8920406			
1191.279	VisEntered	UnityEngine.GameObject	axis Price axis Building-Type visualisation	-8921224			
1191.468	triggerPress	UnityEngine.GameObject	Controller (right)	18530			
1191.468	VisGrabbed	UnityEngine.GameObject	axis Price axis Building-Type visualisation	-8921224			
1191.469	AxisGrab	UnityEngine.GameObject	axis Building-Type	-8920406			
1191.469	AxisRelease	UnityEngine.GameObject	axis Building-Type	-8920406			
1191.469	AxisGrab	UnityEngine.GameObject	axis Price	-8919216			
1191.469	AxisRelease	UnityEngine.GameObject	axis Price	-8919216			
1193.117	triggerRelease	UnityEngine.GameObject	Controller (right)	18530			
1193.118	AxisReleasedInVis	UnityEngine.GameObject	axis Building-Type	-8920406			
1193.120	AxisReleasedInVis	UnityEngine.GameObject	axis Price	-8919216			
1193.450	AxisExited	UnityEngine.GameObject	axis Price	-8919216			
1193.450	AxisExited	UnityEngine.GameObject	axis Building-Type	-8920406			
1193.450	VisExited	UnityEngine.GameObject	axis Price axis Building-Type visualisation	-8921224			
1200.469	AxisEntered	UnityEngine.GameObject	axis Land-Value	-8880986			
1200.470	VisEntered	UnityEngine.GameObject	axis Land-Value visualisation	-8886808			
1201.468	triggerPress	UnityEngine.GameObject	Controller (right)	18530			
1201.468	AxisCloningInitiated	UnityEngine.GameObject	axis Land-Value	-8880986			
1201.928	AxisExited	UnityEngine.GameObject	axis Land-Value	-8880986			
1201.928	VisExited	UnityEngine.GameObject	axis Land-Value visualisation	-8886808			
1203.686	AxisEntered	UnityEngine.GameObject	axis Land-Value	-8880986			
1203.686	VisEntered	UnityEngine.GameObject	axis Land-Value visualisation	-8886808			
1204.247	triggerRelease	UnityEngine.GameObject	Controller (right)	18530			
1204.601	AxisExited	UnityEngine.GameObject	axis Land-Value	-8880986			
1204.601	VisExited	UnityEngine.GameObject	axis Land-Value visualisation	-8886808			
1204.601	AxisEntered	UnityEngine.GameObject	axis Land-Value	-8880986			
1204.765	AxisExited	UnityEngine.GameObject	axis Land-Value	-8880986			
1204.765	AxisEntered	UnityEngine.GameObject	axis Neighbourhood	-8881498			
1204.765	VisEntered	UnityEngine.GameObject	axis Neighbourhood visualisation	-8887256			
1204.938	AxisExited	UnityEngine.GameObject	axis Neighbourhood	-8881498			
1204.938	VisExited	UnityEngine.GameObject	axis Neighbourhood visualisation	-8887256			
1204.938	AxisEntered	UnityEngine.GameObject	axis Land-Value	-8880986			
1205.048	AxisExited	UnityEngine.GameObject	axis Land-Value	-8880986			
1205.048	AxisEntered	UnityEngine.GameObject	axis Land-Value	-8880986			
1205.048	VisEntered	UnityEngine.GameObject	axis Land-Value visualisation	-8886808			
1205.779	AxisExited	UnityEngine.GameObject	axis Land-Value	-8880986			
1205.779	VisExited	UnityEngine.GameObject	axis Land-Value visualisation	-8886808			
