Timestamp	ActionName	ActionSourceObj	ActionSourceObjName	ActionSourceObjID	ActionTargetObj	ActionTargetObjName	ActionTargetObjID
1226.646	triggerPress	UnityEngine.GameObject	Controller (right)	18530			
1227.107	triggerRelease	UnityEngine.GameObject	Controller (right)	18530			
1227.466	triggerPress	UnityEngine.GameObject	Controller (right)	18530			
1227.645	triggerRelease	UnityEngine.GameObject	Controller (right)	18530			
1283.368	AxisEntered	UnityEngine.GameObject	axis Neighbourhood	-10005396			
1283.680	AxisExited	UnityEngine.GameObject	axis Neighbourhood	-10005396			
1283.680	AxisEntered	UnityEngine.GameObject	axis Neighbourhood	-10005396			
1283.680	VisEntered	UnityEngine.GameObject	axis Neighbourhood visualisation	-10011154			
1283.991	AxisExited	UnityEngine.GameObject	axis Neighbourhood	-10005396			
1283.991	VisExited	UnityEngine.GameObject	axis Neighbourhood visualisation	-10011154			
1283.991	AxisEntered	UnityEngine.GameObject	axis Neighbourhood	-10005396			
1284.279	AxisExited	UnityEngine.GameObject	axis Neighbourhood	-10005396			
1284.280	AxisEntered	UnityEngine.GameObject	axis Neighbourhood	-10005396			
1284.280	VisEntered	UnityEngine.GameObject	axis Neighbourhood visualisation	-10011154			
1284.712	AxisExited	UnityEngine.GameObject	axis Neighbourhood	-10005396			
1284.713	VisExited	UnityEngine.GameObject	axis Neighbourhood visualisation	-10011154			
1286.068	AxisEntered	UnityEngine.GameObject	axis Neighbourhood	-10005396			
1286.091	AxisExited	UnityEngine.GameObject	axis Neighbourhood	-10005396			
1286.091	AxisEntered	UnityEngine.GameObject	axis Land-Value	-10004884			
1286.091	VisEntered	UnityEngine.GameObject	axis Land-Value visualisation	-10010706			
1286.313	AxisExited	UnityEngine.GameObject	axis Land-Value	-10004884			
1286.313	VisExited	UnityEngine.GameObject	axis Land-Value visualisation	-10010706			
1286.313	AxisEntered	UnityEngine.GameObject	axis Neighbourhood	-10005396			
1289.224	triggerPress	UnityEngine.GameObject	Controller (right)	18530			
1289.224	AxisCloningInitiated	UnityEngine.GameObject	axis Neighbourhood	-10005396			
1289.679	AxisExited	UnityEngine.GameObject	axis Neighbourhood	-10005396			
1291.953	AxisCloned	UnityEngine.GameObject	axis Neighbourhood	-10038978			
1291.960	AxisEntered	UnityEngine.GameObject	axis Neighbourhood	-10038978			
1292.083	AxisExited	UnityEngine.GameObject	axis Neighbourhood	-10038978			
1293.424	triggerRelease	UnityEngine.GameObject	Controller (right)	18530			
1307.547	AxisEntered	UnityEngine.GameObject	axis Renovation-Value	-10004372			
1307.547	VisEntered	UnityEngine.GameObject	axis Renovation-Value visualisation	-10010258			
1307.649	AxisExited	UnityEngine.GameObject	axis Renovation-Value	-10004372			
1307.649	VisExited	UnityEngine.GameObject	axis Renovation-Value visualisation	-10010258			
1310.114	AxisEntered	UnityEngine.GameObject	axis Renovation-Value	-10004372			
1311.234	triggerPress	UnityEngine.GameObject	Controller (right)	18530			
1311.234	AxisCloningInitiated	UnityEngine.GameObject	axis Renovation-Value	-10004372			
1311.592	AxisExited	UnityEngine.GameObject	axis Renovation-Value	-10004372			
1313.399	AxisCloned	UnityEngine.GameObject	axis Renovation-Value	-10040192			
1313.406	AxisEntered	UnityEngine.GameObject	axis Renovation-Value	-10040192			
1313.472	AxisExited	UnityEngine.GameObject	axis Renovation-Value	-10040192			
1313.812	triggerRelease	UnityEngine.GameObject	Controller (right)	18530			
1314.058	AxisEntered	UnityEngine.GameObject	axis Renovation-Value	-10040192			
1314.058	VisEntered	UnityEngine.GameObject	axis Renovation-Value visualisation	-10040898			
1314.502	AxisExited	UnityEngine.GameObject	axis Renovation-Value	-10040192			
1314.502	VisExited	UnityEngine.GameObject	axis Renovation-Value visualisation	-10040898			
1318.368	AxisEntered	UnityEngine.GameObject	axis Latitude	-10001568			
1318.913	triggerPress	UnityEngine.GameObject	Controller (right)	18530			
1318.913	AxisCloningInitiated	UnityEngine.GameObject	axis Latitude	-10001568			
1319.302	AxisExited	UnityEngine.GameObject	axis Latitude	-10001568			
1320.151	AxisCloned	UnityEngine.GameObject	axis Latitude	-10041382			
1320.158	AxisEntered	UnityEngine.GameObject	axis Latitude	-10041382			
1320.224	AxisExited	UnityEngine.GameObject	axis Latitude	-10041382			
1320.569	triggerRelease	UnityEngine.GameObject	Controller (right)	18530			
1321.342	FilterBubbleCollapsed	UnityEngine.GameObject	axis Renovation-Value visualisation	-10040898	UnityEngine.GameObject	FilterBubbleButton	-10041202
1322.413	AxisEntered	UnityEngine.GameObject	axis Building-Type	-10002208			
1322.880	triggerPress	UnityEngine.GameObject	Controller (right)	18530			
1322.880	AxisCloningInitiated	UnityEngine.GameObject	axis Building-Type	-10002208			
1323.078	AxisExited	UnityEngine.GameObject	axis Building-Type	-10002208			
1323.628	FilterSliderEntered	UnityEngine.GameObject	Collision Detector	-10041144	UnityEngine.GameObject	Controller (right)	18530
1323.726	AxisCloned	UnityEngine.GameObject	axis Building-Type	-10042188			
1323.736	FilterSliderEntered	UnityEngine.GameObject	Collision Detector	-10041144	UnityEngine.GameObject	Controller (right)	18530
1323.736	FilterBubbleCollapsed	UnityEngine.GameObject	axis Renovation-Value visualisation	-10040898	UnityEngine.GameObject	FilterBubbleButton	-10041202
1323.736	AxisEntered	UnityEngine.GameObject	axis Building-Type	-10042188			
1323.792	AxisExited	UnityEngine.GameObject	axis Building-Type	-10042188			
1324.101	FilterBubbleCollapsed	UnityEngine.GameObject	axis Renovation-Value visualisation	-10040898	UnityEngine.GameObject	FilterBubbleButton	-10041202
1324.121	triggerRelease	UnityEngine.GameObject	Controller (right)	18530			
1324.524	FilterBubbleCollapsed	UnityEngine.GameObject	axis Renovation-Value visualisation	-10040898	UnityEngine.GameObject	FilterBubbleButton	-10041202
