Timestamp	codapJsonLoad
1092.434	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"resize","type":"DG.TableView","id":18,"title":"vancouverHousing"}},"typeOfMessage":"CODAPLOGGING","color":73}
2315.104	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"create","type":"graph","id":1527}},"typeOfMessage":"CODAPLOGGING","color":73}
2403.218	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dataContextChangeNotice[vancouverHousing]","values":{"operation":"selectCases","result":{"success":true,"cases":[{"id":1086,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"025-754-866","Latitude":"49.278388","Longitude":"-123.126507","Building-Type":"Highrise Apartment","Price":"2727000","Size":"3412","Year-Built":"1985","Renovation-Year":"1985","Renovation-Value":"1110000","Land-Value":"1617000","Neighbourhood":"Downtown","Floor-Level":"44","Main-View":"North"}},{"id":902,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"024-552-780","Latitude":"49.278388","Longitude":"-123.126507","Building-Type":"Highrise Apartment","Price":"2771000","Size":"3096","Year-Built":"1985","Renovation-Year":"1985","Renovation-Value":"1111000","Land-Value":"1660000","Neighbourhood":"Downtown","Floor-Level":"56","Main-View":"North"}}],"extend":true}}},"typeOfMessage":"CODAPLOGGING","color":73}
2403.749	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dataContextChangeNotice[vancouverHousing]","values":{"operation":"selectCases","result":{"success":true,"cases":[{"id":486,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"013-271-229","Latitude":"49.279019","Longitude":"-123.117763","Building-Type":"One Family Housing","Price":"1441000","Size":"2049","Year-Built":"1992","Renovation-Year":"1992","Renovation-Value":"450000","Land-Value":"991000","Neighbourhood":"Downtown","Floor-Level":"1","Main-View":"North"}},{"id":174,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"006-044-166","Latitude":"49.274473","Longitude":"-123.101703","Building-Type":"Townhouse","Price":"827000","Size":"1917","Year-Built":"1992","Renovation-Year":"1992","Renovation-Value":"462000","Land-Value":"365000","Neighbourhood":"Strathcona","Floor-Level":"2","Main-View":"North"}},{"id":229,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"006-388-400","Latitude":"49.274473","Longitude":"-123.101703","Building-Type":"Townhouse","Price":"1096000","Size":"2024","Year-Built":"1992","Renovation-Year":"1992","Renovation-Value":"462000","Land-Value":"634000","Neighbourhood":"Strathcona","Floor-Level":"1","Main-View":"South"}},{"id":268,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"006-854-818","Latitude":"49.279019","Longitude":"-123.117763","Building-Type":"One Family Housing","Price":"1366000","Size":"1810","Year-Built":"1992","Renovation-Year":"1992","Renovation-Value":"459000","Land-Value":"907000","Neighbourhood":"Downtown","Floor-Level":"1","Main-View":"South"}},{"id":131,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"004-084-489","Latitude":"49.270567","Longitude":"-123.078051","Building-Type":"Highrise Apartment","Price":"1048000","Size":"2018","Year-Built":"2016","Renovation-Year":"2016","Renovation-Value":"465000","Land-Value":"583000","Neighbourhood":"Strathcona","Floor-Level":"11","Main-View":"South"}},{"id":33,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"002-805-561","Latitude":"49.276522","Longitude":"-123.130077","Building-Type":"Townhouse","Price":"989000","Size":"2419","Year-Built":"2013","Renovation-Year":"2013","Renovation-Value":"451000","Land-Value":"538000","Neighbourhood":"Downtown","Floor-Level":"2","Main-View":"South"}},{"id":1030,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"025-216-775","Latitude":"49.282643","Longitude":"-123.140081","Building-Type":"Highrise Apartment","Price":"2917000","Size":"2135","Year-Built":"1912","Renovation-Year":"1975","Renovation-Value":"460000","Land-Value":"2457000","Neighbourhood":"West End","Floor-Level":"41","Main-View":"South"}},{"id":965,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"024-708-097","Latitude":"49.289397","Longitude":"-123.123494","Building-Type":"Highrise Apartment","Price":"1345000","Size":"2241","Year-Built":"1998","Renovation-Year":"1998","Renovation-Value":"452000","Land-Value":"893000","Neighbourhood":"Downtown","Floor-Level":"46","Main-View":"West"}},{"id":1186,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"026-379-171","Latitude":"49.286115","Longitude":"-123.124718","Building-Type":"Highrise Apartment","Price":"1241000","Size":"2670","Year-Built":"2008","Renovation-Year":"2008","Renovation-Value":"456000","Land-Value":"785000","Neighbourhood":"West End","Floor-Level":"23","Main-View":"West"}},{"id":1503,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"029-886-937","Latitude":"49.275979","Longitude":"-123.101442","Building-Type":"Highrise Apartment","Price":"1493000","Size":"2033","Year-Built":"2004","Renovation-Year":"2004","Renovation-Value":"451000","Land-Value":"1042000","Neighbourhood":"Strathcona","Floor-Level":"46","Main-View":"North"}},{"id":1414,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"028-007-646","Latitude":"49.269297","Longitude":"-123.16542","Building-Type":"Highrise Apartment","Price":"3146000","Size":"2094","Year-Built":"1910","Renovation-Year":"1990","Renovation-Value":"450000","Land-Value":"2696000","Neighbourhood":"Kitsilano","Floor-Level":"55","Main-View":"South"}},{"id":945,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"024-668-001","Latitude":"49.273987","Longitude":"-123.112255","Building-Type":"Highrise Apartment","Price":"1792000","Size":"2890","Year-Built":"2008","Renovation-Year":"2008","Renovation-Value":"455000","Land-Value":"1337000","Neighbourhood":"Downtown","Floor-Level":"58","Main-View":"West"}},{"id":707,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"019-178-166","Latitude":"49.273987","Longitude":"-123.112255","Building-Type":"Highrise Apartment","Price":"1826000","Size":"2687","Year-Built":"2008","Renovation-Year":"2008","Renovation-Value":"455000","Land-Value":"1371000","Neighbourhood":"Downtown","Floor-Level":"44","Main-View":"South"}},{"id":625,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"018-358-837","Latitude":"49.289397","Longitude":"-123.123494","Building-Type":"Highrise Apartment","Price":"1171000","Size":"1956","Year-Built":"1998","Renovation-Year":"1998","Renovation-Value":"463000","Land-Value":"708000","Neighbourhood":"Downtown","Floor-Level":"17","Main-View":"North"}},{"id":833,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"023-937-416","Latitude":"49.275979","Longitude":"-123.101442","Building-Type":"Highrise Apartment","Price":"1321000","Size":"2894","Year-Built":"2004","Renovation-Year":"2004","Renovation-Value":"452000","Land-Value":"869000","Neighbourhood":"Strathcona","Floor-Level":"26","Main-View":"East"}}],"extend":true}}},"typeOfMessage":"CODAPLOGGING","color":73}
2413.391	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dataContextChangeNotice[vancouverHousing]","values":{"operation":"selectCases","result":{"success":true,"cases":[{"id":922,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"024-576-140","Latitude":"49.240141","Longitude":"-123.172065","Building-Type":"Highrise Apartment","Price":"4394000","Size":"3878","Year-Built":"2013","Renovation-Year":"2013","Renovation-Value":"1242000","Land-Value":"3152000","Neighbourhood":"Dunbar-Southlands","Floor-Level":"50","Main-View":"South"}},{"id":927,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"024-638-471","Latitude":"49.241435","Longitude":"-123.166824","Building-Type":"Highrise Apartment","Price":"4732000","Size":"3526","Year-Built":"2011","Renovation-Year":"2012","Renovation-Value":"1213000","Land-Value":"3519000","Neighbourhood":"Dunbar-Southlands","Floor-Level":"55","Main-View":"North"}},{"id":203,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"006-314-309","Latitude":"49.239639","Longitude":"-123.192311","Building-Type":"Highrise Apartment","Price":"4648000","Size":"3860","Year-Built":"2012","Renovation-Year":"2012","Renovation-Value":"1266000","Land-Value":"3382000","Neighbourhood":"Dunbar-Southlands","Floor-Level":"52","Main-View":"North"}},{"id":176,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"006-057-284","Latitude":"49.239066","Longitude":"-123.153405","Building-Type":"Highrise Apartment","Price":"4816000","Size":"3660","Year-Built":"2005","Renovation-Year":"2006","Renovation-Value":"1204000","Land-Value":"3612000","Neighbourhood":"Arbutus-Ridge","Floor-Level":"52","Main-View":"North"}},{"id":544,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"015-023-150","Latitude":"49.239432","Longitude":"-123.186716","Building-Type":"Townhouse","Price":"4836000","Size":"4868","Year-Built":"2012","Renovation-Year":"2013","Renovation-Value":"1350000","Land-Value":"3486000","Neighbourhood":"Dunbar-Southlands","Floor-Level":"2","Main-View":"North"}},{"id":1029,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"025-206-532","Latitude":"49.241503","Longitude":"-123.1836","Building-Type":"Highrise Apartment","Price":"4776000","Size":"3258","Year-Built":"1925","Renovation-Year":"1970","Renovation-Value":"1346000","Land-Value":"3430000","Neighbourhood":"Dunbar-Southlands","Floor-Level":"50","Main-View":"South"}},{"id":1146,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"026-195-470","Latitude":"49.237619","Longitude":"-123.180333","Building-Type":"Highrise Apartment","Price":"4434000","Size":"3561","Year-Built":"2016","Renovation-Year":"2016","Renovation-Value":"1215000","Land-Value":"3219000","Neighbourhood":"Dunbar-Southlands","Floor-Level":"52","Main-View":"North"}},{"id":184,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"006-216-340","Latitude":"49.240531","Longitude":"-123.174388","Building-Type":"Townhouse","Price":"4565000","Size":"4251","Year-Built":"2004","Renovation-Year":"2004","Renovation-Value":"1129000","Land-Value":"3436000","Neighbourhood":"Dunbar-Southlands","Floor-Level":"2","Main-View":"North"}},{"id":1513,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"030-021-901","Latitude":"49.239144","Longitude":"-123.146278","Building-Type":"Highrise Apartment","Price":"4516000","Size":"3871","Year-Built":"1996","Renovation-Year":"1997","Renovation-Value":"839000","Land-Value":"3677000","Neighbourhood":"Arbutus-Ridge","Floor-Level":"57","Main-View":"North"}},{"id":1442,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"028-688-295","Latitude":"49.239961","Longitude":"-123.153185","Building-Type":"Highrise Apartment","Price":"4745000","Size":"3774","Year-Built":"1996","Renovation-Year":"1998","Renovation-Value":"849000","Land-Value":"3896000","Neighbourhood":"Arbutus-Ridge","Floor-Level":"50","Main-View":"North"}},{"id":1369,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"027-890-813","Latitude":"49.241996","Longitude":"-123.129956","Building-Type":"Highrise Apartment","Price":"4835000","Size":"3114","Year-Built":"2010","Renovation-Year":"2011","Renovation-Value":"1075000","Land-Value":"3760000","Neighbourhood":"Fairview","Floor-Level":"56","Main-View":"North"}},{"id":1370,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"027-890-953","Latitude":"49.235984","Longitude":"-123.060444","Building-Type":"Highrise Apartment","Price":"2776000","Size":"2775","Year-Built":"2011","Renovation-Year":"2011","Renovation-Value":"792000","Land-Value":"1984000","Neighbourhood":"Victoria-Fraserview","Floor-Level":"34","Main-View":"North"}}],"extend":true}}},"typeOfMessage":"CODAPLOGGING","color":73}
2413.903	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dataContextChangeNotice[vancouverHousing]","values":{"operation":"selectCases","result":{"success":true,"cases":[{"id":485,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"013-240-781","Latitude":"49.241698","Longitude":"-123.157333","Building-Type":"One Family Housing","Price":"4562000","Size":"4063","Year-Built":"1990","Renovation-Year":"1995","Renovation-Value":"679000","Land-Value":"3883000","Neighbourhood":"Arbutus-Ridge","Floor-Level":"1","Main-View":"North"}},{"id":218,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"006-358-641","Latitude":"49.231816","Longitude":"-123.168859","Building-Type":"Townhouse","Price":"4701000","Size":"4350","Year-Built":"1990","Renovation-Year":"1990","Renovation-Value":"659000","Land-Value":"4042000","Neighbourhood":"Dunbar-Southlands","Floor-Level":"2","Main-View":"North"}},{"id":1041,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"025-480-341","Latitude":"49.232241","Longitude":"-123.130024","Building-Type":"Highrise Apartment","Price":"4401000","Size":"3882","Year-Built":"1994","Renovation-Year":"1994","Renovation-Value":"731000","Land-Value":"3670000","Neighbourhood":"Arbutus-Ridge","Floor-Level":"54","Main-View":"South"}},{"id":1262,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"026-910-276","Latitude":"49.228154","Longitude":"-123.160301","Building-Type":"Highrise Apartment","Price":"4488000","Size":"4015","Year-Built":"1988","Renovation-Year":"1988","Renovation-Value":"657000","Land-Value":"3831000","Neighbourhood":"Arbutus-Ridge","Floor-Level":"53","Main-View":"East"}},{"id":155,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"005-237-386","Latitude":"49.255407","Longitude":"-123.166448","Building-Type":"Townhouse","Price":"4499000","Size":"3419","Year-Built":"1989","Renovation-Year":"1989","Renovation-Value":"900000","Land-Value":"3599000","Neighbourhood":"Arbutus-Ridge","Floor-Level":"2","Main-View":"North"}},{"id":278,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"007-760-906","Latitude":"49.246248","Longitude":"-123.180266","Building-Type":"Townhouse","Price":"4834000","Size":"3468","Year-Built":"2013","Renovation-Year":"2013","Renovation-Value":"1445000","Land-Value":"3389000","Neighbourhood":"Dunbar-Southlands","Floor-Level":"2","Main-View":"North"}},{"id":843,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"024-031-101","Latitude":"49.244476","Longitude":"-123.139052","Building-Type":"Highrise Apartment","Price":"4377000","Size":"3368","Year-Built":"1989","Renovation-Year":"1989","Renovation-Value":"1006000","Land-Value":"3371000","Neighbourhood":"Fairview","Floor-Level":"60","Main-View":"South"}},{"id":423,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"011-242-396","Latitude":"49.25271","Longitude":"-123.168975","Building-Type":"Highrise Apartment","Price":"4392000","Size":"3004","Year-Built":"2014","Renovation-Year":"2014","Renovation-Value":"1297000","Land-Value":"3095000","Neighbourhood":"Arbutus-Ridge","Floor-Level":"52","Main-View":"East"}},{"id":1286,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"027-171-591","Latitude":"49.247853","Longitude":"-123.134599","Building-Type":"Highrise Apartment","Price":"4426000","Size":"3770","Year-Built":"1995","Renovation-Year":"1996","Renovation-Value":"949000","Land-Value":"3477000","Neighbourhood":"Fairview","Floor-Level":"51","Main-View":"East"}},{"id":1369,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"027-890-813","Latitude":"49.241996","Longitude":"-123.129956","Building-Type":"Highrise Apartment","Price":"4835000","Size":"3114","Year-Built":"2010","Renovation-Year":"2011","Renovation-Value":"1075000","Land-Value":"3760000","Neighbourhood":"Fairview","Floor-Level":"56","Main-View":"North"}},{"id":611,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"018-173-080","Latitude":"49.249017","Longitude":"-123.200529","Building-Type":"Highrise Apartment","Price":"4563000","Size":"3911","Year-Built":"1970","Renovation-Year":"1992","Renovation-Value":"756000","Land-Value":"3807000","Neighbourhood":"Dunbar-Southlands","Floor-Level":"55","Main-View":"East"}},{"id":1343,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"027-616-924","Latitude":"49.252076","Longitude":"-123.192224","Building-Type":"Highrise Apartment","Price":"4421000","Size":"3700","Year-Built":"2007","Renovation-Year":"2007","Renovation-Value":"1063000","Land-Value":"3358000","Neighbourhood":"Dunbar-Southlands","Floor-Level":"58","Main-View":"North"}},{"id":1399,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"027-990-745","Latitude":"49.253884","Longitude":"-123.192204","Building-Type":"Highrise Apartment","Price":"4428000","Size":"3897","Year-Built":"2004","Renovation-Year":"2004","Renovation-Value":"1068000","Land-Value":"3360000","Neighbourhood":"Dunbar-Southlands","Floor-Level":"55","Main-View":"South"}}],"extend":true}}},"typeOfMessage":"CODAPLOGGING","color":73}
2424.211	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dataContextChangeNotice[vancouverHousing]","values":{"operation":"selectCases","result":{"success":true,"cases":[{"id":482,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"013-110-438","Latitude":"49.277608","Longitude":"-123.101038","Building-Type":"One Family Housing","Price":"942000","Size":"1904","Year-Built":"2014","Renovation-Year":"2014","Renovation-Value":"282000","Land-Value":"660000","Neighbourhood":"Strathcona","Floor-Level":"1","Main-View":"North"}}],"extend":false}}},"typeOfMessage":"CODAPLOGGING","color":73}
2437.919	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"move","type":"DG.MapView","id":1522,"title":"title-map"}},"typeOfMessage":"CODAPLOGGING","color":73}
2448.837	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"move","type":"DG.GraphView","id":1527,"title":"axis Latitude axis Renovation-Value visualisation"}},"typeOfMessage":"CODAPLOGGING","color":73}
2451.891	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"create","type":"graph","id":1528}},"typeOfMessage":"CODAPLOGGING","color":73}
